date,song_rows,total_streams,tracks_with_valence,streams_with_valence,sad_streams,sad_songs_count,avg_valence,median_valence,std_valence,min_valence,max_valence,valence_coverage,stream_coverage,share_sad_streams,share_sad_songs,weighted_avg_valence
2020-10-10,52,671340.0,52,671340.0,253170.0,17,0.4813884615384615,0.469,0.22878872405870504,0.0596,0.931,1.0,1.0,0.3771114487443024,0.3269230769230769,0.45444583653588355
2020-10-11,55,592333.0,55,592333.0,228134.0,18,0.48315636363636366,0.473,0.2223746186586253,0.0605,0.931,1.0,1.0,0.38514484251257314,0.32727272727272727,0.4507106051832331
2020-10-12,53,552426.0,53,552426.0,228863.0,20,0.43973018867924524,0.456,0.21945373315164748,0.0596,0.931,1.0,1.0,0.4142871624434766,0.37735849056603776,0.42569208726598695
2020-10-13,52,559505.0,52,559505.0,228563.0,19,0.44650384615384614,0.456,0.21592777202114385,0.0596,0.931,1.0,1.0,0.40850930733416146,0.36538461538461536,0.42936866372954674
2020-10-14,54,631376.0,54,631376.0,257601.0,20,0.44671666666666665,0.456,0.22129088067049787,0.0596,0.931,1.0,1.0,0.4079993537923519,0.37037037037037035,0.43057099208712407
2020-10-15,54,600084.0,54,600084.0,235486.0,19,0.45359629629629633,0.457,0.21496547064803084,0.0596,0.931,1.0,1.0,0.3924217276247992,0.35185185185185186,0.4373792390731964
2020-10-16,46,561167.0,46,561167.0,221767.0,16,0.4598739130434783,0.467,0.2183190228743072,0.0596,0.931,1.0,1.0,0.3951889544467155,0.34782608695652173,0.4397571856506174
2020-10-17,53,657152.0,53,657152.0,240432.0,16,0.49331320754716973,0.494,0.21811251422297534,0.0605,0.931,1.0,1.0,0.36586969224776006,0.3018867924528302,0.46032502754309507
2020-10-18,56,604871.0,56,604871.0,236218.0,19,0.4734928571428572,0.469,0.22340880495152857,0.0605,0.931,1.0,1.0,0.3905262444388969,0.3392857142857143,0.4461463059065487
2020-10-19,48,532731.0,48,532731.0,225873.0,19,0.4359625000000001,0.446,0.21298886558151844,0.0596,0.884,1.0,1.0,0.4239907195188566,0.3958333333333333,0.4243450585755287
2020-10-20,52,569781.0,52,569781.0,237152.0,20,0.4349076923076923,0.446,0.21135552692843776,0.0596,0.884,1.0,1.0,0.4162160549404069,0.38461538461538464,0.42444361588048723
2020-10-21,54,644161.0,54,644161.0,256579.0,19,0.4492999999999999,0.457,0.20729225017142358,0.0596,0.884,1.0,1.0,0.3983150175189122,0.35185185185185186,0.4326814656584301
