date,top200_rows,unique_tracks,tracks_with_valence,valence_coverage,avg_valence,sad_songs_count,share_sad_songs
2018-01-04,200,200,196,0.98,0.4847591836734694,59,0.295
2018-01-05,200,200,194,0.97,0.49498917525773195,55,0.275
2018-01-06,200,200,198,0.99,0.5123474747474748,47,0.235
2018-01-07,200,200,197,0.985,0.46022893401015225,72,0.36
2018-01-08,200,200,182,0.91,0.4759505494505495,55,0.275
2018-01-09,200,200,188,0.94,0.4865340425531915,52,0.26
2018-01-10,200,200,193,0.965,0.45768186528497407,60,0.3
2018-01-11,200,200,191,0.955,0.46637801047120414,59,0.295
2018-01-12,200,200,196,0.98,0.48554948979591833,56,0.28
2018-02-01,200,200,197,0.985,0.4870730964467005,60,0.3
2018-02-02,200,200,199,0.995,0.4723748743718593,60,0.3
2018-02-03,200,200,195,0.975,0.4894574358974359,54,0.27
2018-02-04,200,200,196,0.98,0.4829688775510204,58,0.29
2018-02-05,200,200,195,0.975,0.4897174358974359,55,0.275
2018-02-06,200,200,198,0.99,0.50720101010101,52,0.26
2018-02-07,200,200,197,0.985,0.45312741116751265,74,0.37
2018-02-08,200,200,185,0.925,0.4868,52,0.26
2018-02-09,200,200,188,0.94,0.4799542553191489,53,0.265
2018-02-10,200,200,194,0.97,0.4651118556701031,58,0.29
2018-02-11,200,200,196,0.98,0.4644744897959184,58,0.29
2018-02-12,200,200,193,0.965,0.4771538860103627,58,0.29
2018-03-01,200,200,197,0.985,0.48556446700507616,62,0.31
2018-03-02,200,200,198,0.99,0.49442727272727277,57,0.285
2018-03-03,200,200,195,0.975,0.5224128205128206,50,0.25
2018-03-04,200,200,196,0.98,0.48462704081632657,58,0.29
2018-03-05,200,200,195,0.975,0.49829179487179487,53,0.265
2018-03-06,200,200,198,0.99,0.5018929292929293,52,0.26
2018-03-07,200,200,180,0.9,0.451495,66,0.33
2018-03-08,200,200,186,0.93,0.460894623655914,61,0.305
2018-03-09,200,200,189,0.945,0.4685206349206349,56,0.28
2018-03-10,200,200,193,0.965,0.4630642487046632,60,0.3
2018-03-11,200,200,191,0.955,0.47273769633507856,53,0.265
